number	book	chapter	verse
1	1	1	1
2	1	1	2
3	1	1	3
4	1	1	4
5	1	1	5
6	1	1	6
7	1	1	7
8	1	1	8
9	1	1	9
10	1	1	10
11	1	1	11
12	1	1	12
13	1	1	13
14	1	1	14
15	1	1	15
16	1	1	16
17	1	1	17
18	1	1	18
19	1	1	19
20	1	1	20
21	1	1	21
22	1	1	22
23	1	1	23
24	1	1	24
25	1	1	25
26	1	1	26
27	1	1	27
28	1	1	28
29	1	1	29
30	1	1	30
31	1	1	31
32	1	2	1
33	1	2	2
34	1	2	3
35	1	2	4
36	1	2	5
37	1	2	6
38	1	2	7
39	1	2	8
40	1	2	9
41	1	2	10
42	1	2	11
43	1	2	12
44	1	2	13
45	1	2	14
46	1	2	15
47	1	2	16
48	1	2	17
49	1	2	18
50	1	2	19
51	1	2	20
52	1	2	21
53	1	2	22
54	1	2	23
55	1	2	24
56	1	2	25
57	1	3	1
58	1	3	2
59	1	3	3
60	1	3	4
61	1	3	5
62	1	3	6
63	1	3	7
64	1	3	8
65	1	3	9
66	1	3	10
67	1	3	11
68	1	3	12
69	1	3	13
70	1	3	14
71	1	3	15
72	1	3	16
73	1	3	17
74	1	3	18
75	1	3	19
76	1	3	20
77	1	3	21
78	1	3	22
79	1	3	23
80	1	3	24
81	1	4	1
82	1	4	2
83	1	4	3
84	1	4	4
85	1	4	5
86	1	4	6
87	1	4	7
88	1	4	8
89	1	4	9
90	1	4	10
91	1	4	11
92	1	4	12
93	1	4	13
94	1	4	14
95	1	4	15
96	1	4	16
97	1	4	17
98	1	4	18
99	1	4	19
100	1	4	20
101	1	4	21
102	1	4	22
103	1	4	23
104	1	4	24
105	1	4	25
106	1	4	26
107	1	5	1
108	1	5	2
109	1	5	3
110	1	5	4
111	1	5	5
112	1	5	6
113	1	5	7
114	1	5	8
115	1	5	9
116	1	5	10
117	1	5	11
118	1	5	12
119	1	5	13
120	1	5	14
121	1	5	15
122	1	5	16
123	1	5	17
124	1	5	18
125	1	5	19
126	1	5	20
127	1	5	21
128	1	5	22
129	1	5	23
130	1	5	24
131	1	5	25
132	1	5	26
133	1	5	27
134	1	5	28
135	1	5	29
136	1	5	30
137	1	5	31
138	1	5	32
139	1	6	1
140	1	6	2
141	1	6	3
142	1	6	4
143	1	6	5
144	1	6	6
145	1	6	7
146	1	6	8
147	1	6	9
148	1	6	10
149	1	6	11
150	1	6	12
151	1	6	13
152	1	6	14
153	1	6	15
154	1	6	16
155	1	6	17
156	1	6	18
157	1	6	19
158	1	6	20
159	1	6	21
160	1	6	22
161	1	7	1
162	1	7	2
163	1	7	3
164	1	7	4
165	1	7	5
166	1	7	6
167	1	7	7
168	1	7	8
169	1	7	9
170	1	7	10
171	1	7	11
172	1	7	12
173	1	7	13
174	1	7	14
175	1	7	15
176	1	7	16
177	1	7	17
178	1	7	18
179	1	7	19
180	1	7	20
181	1	7	21
182	1	7	22
183	1	7	23
184	1	7	24
185	1	8	1
186	1	8	2
187	1	8	3
188	1	8	4
189	1	8	5
190	1	8	6
191	1	8	7
192	1	8	8
193	1	8	9
194	1	8	10
195	1	8	11
196	1	8	12
197	1	8	13
198	1	8	14
199	1	8	15
200	1	8	16
201	1	8	17
202	1	8	18
203	1	8	19
204	1	8	20
205	1	8	21
206	1	8	22
207	1	9	1
208	1	9	2
209	1	9	3
210	1	9	4
211	1	9	5
212	1	9	6
213	1	9	7
214	1	9	8
215	1	9	9
216	1	9	10
217	1	9	11
218	1	9	12
219	1	9	13
220	1	9	14
221	1	9	15
222	1	9	16
223	1	9	17
224	1	9	18
225	1	9	19
226	1	9	20
227	1	9	21
228	1	9	22
229	1	9	23
230	1	9	24
231	1	9	25
232	1	9	26
233	1	9	27
234	1	9	28
235	1	9	29
236	1	10	1
237	1	10	2
238	1	10	3
239	1	10	4
240	1	10	5
241	1	10	6
242	1	10	7
243	1	10	8
244	1	10	9
245	1	10	10
246	1	10	11
247	1	10	12
248	1	10	13
249	1	10	14
250	1	10	15
251	1	10	16
252	1	10	17
253	1	10	18
254	1	10	19
255	1	10	20
256	1	10	21
257	1	10	22
258	1	10	23
259	1	10	24
260	1	10	25
261	1	10	26
262	1	10	27
263	1	10	28
264	1	10	29
265	1	10	30
266	1	10	31
267	1	10	32
268	1	11	1
269	1	11	2
270	1	11	3
271	1	11	4
272	1	11	5
273	1	11	6
274	1	11	7
275	1	11	8
276	1	11	9
277	1	11	10
278	1	11	11
279	1	11	12
280	1	11	13
281	1	11	14
282	1	11	15
283	1	11	16
284	1	11	17
285	1	11	18
286	1	11	19
287	1	11	20
288	1	11	21
289	1	11	22
290	1	11	23
291	1	11	24
292	1	11	25
293	1	11	26
294	1	11	27
295	1	11	28
296	1	11	29
297	1	11	30
298	1	11	31
299	1	11	32
300	1	12	1
301	1	12	2
302	1	12	3
303	1	12	4
304	1	12	5
305	1	12	6
306	1	12	7
307	1	12	8
308	1	12	9
309	1	12	10
310	1	12	11
311	1	12	12
312	1	12	13
313	1	12	14
314	1	12	15
315	1	12	16
316	1	12	17
317	1	12	18
318	1	12	19
319	1	12	20
320	1	13	1
321	1	13	2
322	1	13	3
323	1	13	4
324	1	13	5
325	1	13	6
326	1	13	7
327	1	13	8
328	1	13	9
329	1	13	10
330	1	13	11
331	1	13	12
332	1	13	13
333	1	13	14
334	1	13	15
335	1	13	16
336	1	13	17
337	1	13	18
338	1	14	1
339	1	14	2
340	1	14	3
341	1	14	4
342	1	14	5
343	1	14	6
344	1	14	7
345	1	14	8
346	1	14	9
347	1	14	10
348	1	14	11
349	1	14	12
350	1	14	13
351	1	14	14
352	1	14	15
353	1	14	16
354	1	14	17
355	1	14	18
356	1	14	19
357	1	14	20
358	1	14	21
359	1	14	22
360	1	14	23
361	1	14	24
362	1	15	1
363	1	15	2
364	1	15	3
365	1	15	4
366	1	15	5
367	1	15	6
368	1	15	7
369	1	15	8
370	1	15	9
371	1	15	10
372	1	15	11
373	1	15	12
374	1	15	13
375	1	15	14
376	1	15	15
377	1	15	16
378	1	15	17
379	1	15	18
380	1	15	19
381	1	15	20
382	1	15	21
383	1	16	1
384	1	16	2
385	1	16	3
386	1	16	4
387	1	16	5
388	1	16	6
389	1	16	7
390	1	16	8
391	1	16	9
392	1	16	10
393	1	16	11
394	1	16	12
395	1	16	13
396	1	16	14
397	1	16	15
398	1	16	16
399	1	17	1
400	1	17	2
401	1	17	3
402	1	17	4
403	1	17	5
404	1	17	6
405	1	17	7
406	1	17	8
407	1	17	9
408	1	17	10
409	1	17	11
410	1	17	12
411	1	17	13
412	1	17	14
413	1	17	15
414	1	17	16
415	1	17	17
416	1	17	18
417	1	17	19
418	1	17	20
419	1	17	21
420	1	17	22
421	1	17	23
422	1	17	24
423	1	17	25
424	1	17	26
425	1	17	27
426	1	18	1
427	1	18	2
428	1	18	3
429	1	18	4
430	1	18	5
431	1	18	6
432	1	18	7
433	1	18	8
434	1	18	9
435	1	18	10
436	1	18	11
437	1	18	12
438	1	18	13
439	1	18	14
440	1	18	15
441	1	18	16
442	1	18	17
443	1	18	18
444	1	18	19
445	1	18	20
446	1	18	21
447	1	18	22
448	1	18	23
449	1	18	24
450	1	18	25
451	1	18	26
452	1	18	27
453	1	18	28
454	1	18	29
455	1	18	30
456	1	18	31
457	1	18	32
458	1	18	33
459	1	19	1
460	1	19	2
461	1	19	3
462	1	19	4
463	1	19	5
464	1	19	6
465	1	19	7
466	1	19	8
467	1	19	9
468	1	19	10
469	1	19	11
470	1	19	12
471	1	19	13
472	1	19	14
473	1	19	15
474	1	19	16
475	1	19	17
476	1	19	18
477	1	19	19
478	1	19	20
479	1	19	21
480	1	19	22
481	1	19	23
482	1	19	24
483	1	19	25
484	1	19	26
485	1	19	27
486	1	19	28
487	1	19	29
488	1	19	30
489	1	19	31
490	1	19	32
491	1	19	33
492	1	19	34
493	1	19	35
494	1	19	36
495	1	19	37
496	1	19	38
497	1	20	1
498	1	20	2
499	1	20	3
500	1	20	4
501	1	20	5
502	1	20	6
503	1	20	7
504	1	20	8
505	1	20	9
506	1	20	10
507	1	20	11
508	1	20	12
509	1	20	13
510	1	20	14
511	1	20	15
512	1	20	16
513	1	20	17
514	1	20	18
515	1	21	1
516	1	21	2
517	1	21	3
518	1	21	4
519	1	21	5
520	1	21	6
521	1	21	7
522	1	21	8
523	1	21	9
524	1	21	10
525	1	21	11
526	1	21	12
527	1	21	13
528	1	21	14
529	1	21	15
530	1	21	16
531	1	21	17
532	1	21	18
533	1	21	19
534	1	21	20
535	1	21	21
536	1	21	22
537	1	21	23
538	1	21	24
539	1	21	25
540	1	21	26
541	1	21	27
542	1	21	28
543	1	21	29
544	1	21	30
545	1	21	31
546	1	21	32
547	1	21	33
548	1	21	34
549	1	22	1
550	1	22	2
551	1	22	3
552	1	22	4
553	1	22	5
554	1	22	6
555	1	22	7
556	1	22	8
557	1	22	9
558	1	22	10
559	1	22	11
560	1	22	12
561	1	22	13
562	1	22	14
563	1	22	15
564	1	22	16
565	1	22	17
566	1	22	18
567	1	22	19
568	1	22	20
569	1	22	21
570	1	22	22
571	1	22	23
572	1	22	24
573	1	23	1
574	1	23	2
575	1	23	3
576	1	23	4
577	1	23	5
578	1	23	6
579	1	23	7
580	1	23	8
581	1	23	9
582	1	23	10
583	1	23	11
584	1	23	12
585	1	23	13
586	1	23	14
587	1	23	15
588	1	23	16
589	1	23	17
590	1	23	18
591	1	23	19
592	1	23	20
593	1	24	1
594	1	24	2
595	1	24	3
596	1	24	4
597	1	24	5
598	1	24	6
599	1	24	7
600	1	24	8
601	1	24	9
602	1	24	10
603	1	24	11
604	1	24	12
605	1	24	13
606	1	24	14
607	1	24	15
608	1	24	16
609	1	24	17
610	1	24	18
611	1	24	19
612	1	24	20
613	1	24	21
614	1	24	22
615	1	24	23
616	1	24	24
617	1	24	25
618	1	24	26
619	1	24	27
620	1	24	28
621	1	24	29
622	1	24	30
623	1	24	31
624	1	24	32
625	1	24	33
626	1	24	34
627	1	24	35
628	1	24	36
629	1	24	37
630	1	24	38
631	1	24	39
632	1	24	40
633	1	24	41
634	1	24	42
635	1	24	43
636	1	24	44
637	1	24	45
638	1	24	46
639	1	24	47
640	1	24	48
641	1	24	49
642	1	24	50
643	1	24	51
644	1	24	52
645	1	24	53
646	1	24	54
647	1	24	55
648	1	24	56
649	1	24	57
650	1	24	58
651	1	24	59
652	1	24	60
653	1	24	61
654	1	24	62
655	1	24	63
656	1	24	64
657	1	24	65
658	1	24	66
659	1	24	67
660	1	25	1
661	1	25	2
662	1	25	3
663	1	25	4
664	1	25	5
665	1	25	6
666	1	25	7
667	1	25	8
668	1	25	9
669	1	25	10
670	1	25	11
671	1	25	12
672	1	25	13
673	1	25	14
674	1	25	15
675	1	25	16
676	1	25	17
677	1	25	18
678	1	25	19
679	1	25	20
680	1	25	21
681	1	25	22
682	1	25	23
683	1	25	24
684	1	25	25
685	1	25	26
686	1	25	27
687	1	25	28
688	1	25	29
689	1	25	30
690	1	25	31
691	1	25	32
692	1	25	33
693	1	25	34
694	1	26	1
695	1	26	2
696	1	26	3
697	1	26	4
698	1	26	5
699	1	26	6
700	1	26	7
701	1	26	8
702	1	26	9
703	1	26	10
704	1	26	11
705	1	26	12
706	1	26	13
707	1	26	14
708	1	26	15
709	1	26	16
710	1	26	17
711	1	26	18
712	1	26	19
713	1	26	20
714	1	26	21
715	1	26	22
716	1	26	23
717	1	26	24
718	1	26	25
719	1	26	26
720	1	26	27
721	1	26	28
722	1	26	29
723	1	26	30
724	1	26	31
725	1	26	32
726	1	26	33
727	1	26	34
728	1	26	35
729	1	27	1
730	1	27	2
731	1	27	3
732	1	27	4
733	1	27	5
734	1	27	6
735	1	27	7
736	1	27	8
737	1	27	9
738	1	27	10
739	1	27	11
740	1	27	12
741	1	27	13
742	1	27	14
743	1	27	15
744	1	27	16
745	1	27	17
746	1	27	18
747	1	27	19
748	1	27	20
749	1	27	21
750	1	27	22
751	1	27	23
752	1	27	24
753	1	27	25
754	1	27	26
755	1	27	27
756	1	27	28
757	1	27	29
758	1	27	30
759	1	27	31
760	1	27	32
761	1	27	33
762	1	27	34
763	1	27	35
764	1	27	36
765	1	27	37
766	1	27	38
767	1	27	39
768	1	27	40
769	1	27	41
770	1	27	42
771	1	27	43
772	1	27	44
773	1	27	45
774	1	27	46
775	1	28	1
776	1	28	2
777	1	28	3
778	1	28	4
779	1	28	5
780	1	28	6
781	1	28	7
782	1	28	8
783	1	28	9
784	1	28	10
785	1	28	11
786	1	28	12
787	1	28	13
788	1	28	14
789	1	28	15
790	1	28	16
791	1	28	17
792	1	28	18
793	1	28	19
794	1	28	20
795	1	28	21
796	1	28	22
797	1	29	1
798	1	29	2
799	1	29	3
800	1	29	4
801	1	29	5
802	1	29	6
803	1	29	7
804	1	29	8
805	1	29	9
806	1	29	10
807	1	29	11
808	1	29	12
809	1	29	13
810	1	29	14
811	1	29	15
812	1	29	16
813	1	29	17
814	1	29	18
815	1	29	19
816	1	29	20
817	1	29	21
818	1	29	22
819	1	29	23
820	1	29	24
821	1	29	25
822	1	29	26
823	1	29	27
824	1	29	28
825	1	29	29
826	1	29	30
827	1	29	31
828	1	29	32
829	1	29	33
830	1	29	34
831	1	29	35
832	1	30	1
833	1	30	2
834	1	30	3
835	1	30	4
836	1	30	5
837	1	30	6
838	1	30	7
839	1	30	8
840	1	30	9
841	1	30	10
842	1	30	11
843	1	30	12
844	1	30	13
845	1	30	14
846	1	30	15
847	1	30	16
848	1	30	17
849	1	30	18
850	1	30	19
